,constituency,name,age,cases,assets,liabilities,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,party,votes,gender,uuid,Year,education_category
95,Terdal,Ambadas Kamurthi,51,1,152287452.0,,"Bachelor of Engineering (Mechanical)at BVB college of Engineering and Technology,Hubli,Dist,Dharwad-580031 in 1993",GEN,Bagalkot,Entrepreneur Business in Modular Furniture,Entrepreneur Business in Modular Furniture,Business / Entrepreneurship,Business / Entrepreneurship,IND,4224.0,M,hqiuoPPT,2023,Graduate
96,Hungund,Akki Charalingappa Kotrappa,50,0,5600000.0,400000.0,"Bachelor of Arts, Karnataka University Dharwad, SVM College Ilakalla - 2000-2001",GEN,Bagalkot,Small Kiran Shop Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,384.0,M,2JHhs6su,2023,Graduate
97,Shahapur,Ameenraddi Yalagi,39,0,30731719.0,5640000.0,B.A. from Dharwad University In 2005,GEN,Yadgir,Social Service Agriculture,Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship,BJP,52326.0,M,XGNdjPJ5,2023,Graduate
98,Madikeri,Ameen Mohisin,41,0,7171803.0,340000.0,"LLB from Al Ameen College of Law Bangalore, B.com field from Marshal K.M. Cariappa College, Madikeri",GEN,Kodagu,Advocate,Tailoring,Law / Judiciary,Arts / Entertainment,SDPI,1436.0,M,fSHo7zzz,2023,Graduate
99,Yellapur,Anand Ganapati Bhat,39,0,30254500.0,225000.0,MBA in RKIMCS Bellandur gate bangalore 2005-06,GEN,Uttara Kannada,"Farmer, Work",House keeping,Agriculture / Farming,Hospitality / Tourism,IND,295.0,M,g4DN9yAp,2023,Postgraduate
100,Kolar,Amjad Pasha,52,0,2041677.0,,"SSLC ,AL Ameen High school,Kolar march 1992",GEN,Kolar,Social service,Housewife,Social Work / Activism,Education / Academia,IND,52.0,M,EBXfX4vh,2023,Higher Secondary Education
101,C.V. Raman Nagar,Anand Kumar. S,42,0,3014764.0,,8th Standard from Karnataka Secondary Education Examination Board School- Rai Bahadur Arcot Narrainswmy Mudaliar School in 1995,SC,B.B.M.P(North),Business,Not Applicable,Business / Entrepreneurship,Cound't Classify,INC,52833.0,M,DTyEwWhg,2023,Primary Education
102,Krishnaraja,Amithaba,39,0,456930.0,,"Bachelor of Arts, Incomplete from KSOU Mysore, Karnataka State Open University - 2004",GEN,Mysore,Proprietor of ABB TV,Not Given,Arts / Entertainment,Cound't Classify,IND,79.0,M,NwcrvRD6,2023,Graduate
103,Govindraj Nagar,Amjad Khan,39,0,94000.0,60806.0,Unknown,GEN,B.B.M.P(South),Social service,Housewife,Social Work / Activism,Education / Academia,IND,44.0,M,nQHaGyGD,2023,Unknown
104,Kittur,Anand Hampannavar,53,0,1378000.0,,MA South India Hindi Prachar Sabha Madras University 2017,GEN,Belgaum,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,AAP,395.0,M,imZS8QmM,2023,Postgraduate
105,Vijay Nagar,Amjad Khan,39,0,94000.0,60806.0,literate,GEN,B.B.M.P(South),Social service,Housewife,Social Work / Activism,Education / Academia,IND,55.0,M,WUaeJEoX,2023,Literate
106,Kadur,Anand K.T,52,0,31337333.0,596000.0,Diploma in Mechanical Engineering in 1989-90,GEN,Chikmagalur,Agriculture,Housewife,Agriculture / Farming,Education / Academia,SKP,26.0,M,iGF9pG7E,2023,Diploma Holder
107,Gadag,Anand Handi,35,0,1008681.0,,Secondary School Leaving Certificate and ITI Electrician,GEN,Gadag,ITI Electrician,House Wife,Engineering / Technology,Cound't Classify,KRS,536.0,M,MvgaDePF,2023,Vocational Training
108,Mahadevapura,Anand Kumar N,36,0,521400.0,1152000.0,"BA in Economics from Bangalore University, 2019",SC,Bangalore Urban,IT Professional,Not Given,Information Technology,Cound't Classify,IND,192.0,M,Cv72QFvZ,2023,Graduate
109,Dharwad,Amrut Ayyappa Desai,46,0,122833531.0,3642559.0,"B.COM (not completed ), Karnataka University ,Dharwada",GEN,Dharwad,"Agriculture, Social Service","Agriculture,Business, House Work , Social Service","Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Business / Entrepreneurship, Not Given, Social Work / Activism",BJP,71296.0,M,kWjEHF38,2023,Unknown
110,Badami,Anand Laxman Waddar,28,0,500000.0,320000.0,First Grade BA-Government First Grade College Rampura Tq District Bagalkot in 2017,GEN,Bagalkot,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,KRS,782.0,M,5KNs6GWM,2023,Graduate
111,Jamkhandi,Anand Siddu Nyamagouda,40,1,109111686.0,13758493.0,"Master of Business Administration MBA (Finance) from Bangalore University, Bangalore in 2005",GEN,Bagalkot,"Agriculture and Chairman, Jamakhandi Sugars Ltd",Business School Coordinator,"Agriculture / Farming, Politics / Public Service",Business / Entrepreneurship,INC,77221.0,M,3AAu23q5,2023,Postgraduate
112,Maddur,Ananda,50,4,3313421.0,1390000.0,"Secondary School Leaving Certificate Pass From Govt High School, Arakere Village - 1990-91",GEN,Mandya,Driver,House Wife,Transportation / Logistics,Cound't Classify,AAP,1188.0,M,ayccTEe3,2023,Secondary Education
113,Nanjangud,Ananda Jeevan Ram,37,0,1370000.0,640000.0,"SSLC From Banavalu, Nanjanagudu Tq Mysore Di. 1999-2000",SC,Mysore,Business,Not Given,Business / Entrepreneurship,Cound't Classify,IND,126.0,M,RoyQfh7U,2023,Secondary Education
114,Kadur,Ananda Naik. S.L,36,0,156600.0,40000.0,"SSLC-Jnanjyothi high school,kadur",GEN,Chikmagalur,Driving,House wife,Transportation / Logistics,Not Given,KRS,166.0,M,CvvMnZ96,2023,Higher Secondary Education
115,Bhadravati,Ananda Maruthi Medicals,58,0,45578068.0,4027145.0,SSLC,GEN,Shimoga,"Real Estate, Medical Shop, Agriculture",Medical Shop,"Construction / Real Estate, Medicine / Healthcare, Agriculture / Farming",Medicine / Healthcare,AAP,1387.0,M,hS5E8RKw,2023,Higher Secondary Education
116,Saundatti Yellamma,Anand Irayya Kantimath,43,0,7105592.0,400000.0,"PUC , JSS college gokak in 1998",GEN,Belgaum,Agriculture and Trading,House wife,Agriculture / Farming,Not Given,IND,357.0,M,NkGjH87C,2023,Higher Secondary Education
117,Chamrajpet,Anand.K.S,35,0,30023.0,,PUC completed in 2005,GEN,B.B.M.P(Central),Mediator,No,Cound't Classify,Cound't Classify,IND,327.0,M,3zDW6kC7,2023,Higher Secondary Education
118,Kudachi,Anand. V. Malagi,26,0,3046902.0,493502.0,"SSLC From Vanita Vidyalaya English Medium High School, Belagavi, Year-2013",SC,Belgaum,Business,House Wife,Business / Entrepreneurship,Cound't Classify,JD(S),1566.0,M,6Uyqob6k,2023,Higher Secondary Education
119,Channapatna,Andanaiah,46,0,4350000.0,490000.0,2nd PUC from Neharu Pre graduate college 1998,GEN,Ramanagaram,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,IND,237.0,M,aAqSXnFT,2023,Higher Secondary Education
120,Yellapur,Andalagi Veerabhadragouda Shivanagoud Patil,63,0,35793988.0,2211648.0,"SSLC -1975-76,Government union college ,Mundagod",GEN,Uttara Kannada,Agriculture,House work,Agriculture / Farming,Cound't Classify,INC,70695.0,M,R8vmN6nh,2023,Higher Secondary Education
121,Nagamangala,Anikethan Gowda,36,0,58167335.0,4032493.0,"Bachelor of Engineering Computer Science From RNSIT College, VTU in the year 2009",GEN,Mandya,Engineering Consultant,"Radiologist, Business, House rent income","Engineering / Technology, Consulting / Advisory","Medicine / Healthcare, Business / Entrepreneurship, Not Given",IND,136.0,M,6WnM5xRQ,2023,Graduate
122,Tiptur,Ananthashayana A T,66,0,2028000.0,,"MA in Jnana bharathi bangalore ,bangalore university 1983-84",GEN,Tumkur,Agriculture,no,Agriculture / Farming,Cound't Classify,IND,130.0,M,i8bPwS8Y,2023,Postgraduate
123,Shrirangapattana,Ananda.P,36,0,213873.0,,"B.A. From Govt. College Mandya, Year-2009",GEN,Mandya,Bussiness,House wife,Business / Entrepreneurship,Not Given,BSP,777.0,M,N7bSwnUp,2023,Graduate
124,Mudigere,Angadi Chandru,46,1,774200.0,325859.0,"B.A.Govt First Class College,mudigere-2003",SC,Chikmagalur,Driver,Housewife,Transportation / Logistics,Education / Academia,SDPI,503.0,M,ebDiqotr,2023,Graduate
125,Heggadadevankote,Anil Chikkamadhu,34,2,149443273.0,,"SSLC- Talent High School Hunsuru, 2005, Mysore District",ST,Mysore,Agriculture and Business,Bank Employee,"Agriculture / Farming, Business / Entrepreneurship",Banking / Finance,INC,84359.0,M,W5CAypSr,2023,Higher Secondary Education
126,Ron,Anekal Doddaiah,42,0,70050000.0,2500000.0,"B.A. From Magadh University, Bodhgaya (Patna) India (Correspondance)",GEN,Gadag,Agriculture and Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,AAP,8839.0,M,6T7oc4jr,2023,Graduate
127,Rajarajeshwarinagar,Anantha Subhash Chandra,57,0,45219050.0,6700000.0,12th Philomenas College Mysore Year 1983,GEN,B.B.M.P(Central),Businessman,House Wife,Business / Entrepreneurship,Cound't Classify,AAP,1191.0,M,3PSauyhh,2023,Higher Secondary Education
128,Anekal,Anburaj,57,0,11200000.0,,"8th pass from Government School, Tamilnadu",SC,Bangalore Urban,Business,Housewife,Business / Entrepreneurship,Education / Academia,KRS,851.0,M,E9ao6Cq2,2023,Primary Education
129,Shrirangapattana,Anil Kumar,40,0,147000.0,200000.0,10th Government Pre University College Srirangapattana in 2009,GEN,Mandya,Driver,House Wife,Transportation / Logistics,Cound't Classify,ANP,208.0,M,moxjntqv,2023,Secondary Education
130,Shimoga,Anil M R,41,0,2058000.0,,"JODC Taraballu Vidya Institute, Sirigiri-2001",GEN,Shimoga,Business,Housewife,Business / Entrepreneurship,Education / Academia,IND,79.0,F,4GnVQVgV,2023,Unknown
131,Mayakonda,Anandappa H,68,0,228267265.0,10500000.0,"7th pass,Govt kannada madhyamika School,Chitradurga-1967-68",SC,Davangere,"Self Employed,Enterpreneur","Businees,Agricultural,Commercial and Educatinal Institution",Business / Entrepreneurship,"Business / Entrepreneurship, Agriculture / Farming",JD(S),12915.0,M,Fz8XGfCX,2023,Primary Education
132,Bellary City,Anil H Lad,50,6,3805729648.0,386009804.0,8th Standard at Sandur Residental School sandur In Year 1987,GEN,Bellary,"Business, Plotics and Social Work",Business and House Wife,"Business / Entrepreneurship, Politics / Public Service, Social Work / Activism",Business / Entrepreneurship,JD(S),610.0,M,ZJvZ5Qzf,2023,Primary Education
133,Shikaripura,Anil M.R.,41,0,2059000.0,,JODC Taralabalu Vidya Institute Sirigere in Society Seregeri 2001,GEN,Shimoga,Business,House wife,Business / Entrepreneurship,Not Given,IND,115.0,M,Dwjzn8ko,2023,Unknown
134,Aurad,Anil Rathod,28,1,880000.0,,SSLC in 2009 from S.S.C. Board latur,SC,Bidar,"Agriculture, Business",Housewife,"Agriculture / Farming, Business / Entrepreneurship",Education / Academia,RMP,637.0,M,65tTjWL3,2023,Higher Secondary Education
135,Challakere,Anil Kumar R.,45,6,264655833.0,29840680.0,"Engineering ,Bangalore University, S.I.T Tumkur in 2001",ST,Chitradurga,"Retired Government Employee , Agriculture","Business, Agriculture",Agriculture / Farming,"Business / Entrepreneurship, Agriculture / Farming",BJP,22894.0,F,7apWbTfG,2023,Graduate
136,Gadag,Anil. P. Menasinakai,49,11,94288543.0,3729000.0,"PUC-KVSR College, Gadag-1994",GEN,Gadag,Real Estate Business,Business,Construction / Real Estate,Business / Entrepreneurship,BJP,74828.0,M,jGVnBdx4,2023,Higher Secondary Education
137,Bidar,Anilkumar,35,0,1074500.0,335000.0,"Diploma in Civil Engineer, KCT Polytechnic College, Gulbarga 2013",GEN,Bidar,Engineer,Teacher,Engineering / Technology,Education / Academia,BSP,408.0,M,XNvyZ4Uo,2023,Diploma Holder
138,Doddaballapur,Anandamurthy.J.Gowdru,52,0,233500000.0,,SSLC,GEN,Bangalore Rural,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,IND,126.0,M,e5HweBna,2023,Secondary Education
139,Sidlaghatta,Anjinappa,45,0,255653542.0,1800000.0,"M,SC from Bangalore University 2001",GEN,Chikkaballapur,Agriculture and business,Agriculture Business,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship",IND,52160.0,M,Gq9uwqRY,2023,Postgraduate
140,Hebbal,Anjan Kumar Gowda S,49,1,,,SSLC Fail,GEN,B.B.M.P(North),Social Service,Not Given,Social Work / Activism,Cound't Classify,INCP,123.0,M,WkftmVRN,2023,Secondary Education
141,Aurad,Ankush,31,0,325000.0,50000.0,"8th Pass From Morarji Desai Madari Vasati School Santhapura, Tq Aurad",SC,Bidar,Social Service,House wife,Social Work / Activism,Not Given,KRS,130.0,M,CNoBApZN,2023,Primary Education
142,Lingsugur,Anilkumar D.Janappa Hirenaganoor,32,0,1801000.0,500000.0,"M.S.W. from Shri Sanjeev MSW College, Gulbarga University in 2020, M.B.A. from C.M.R.I.T. College Bangalore (VTU University) in 2013",SC,Raichur,Social Service,Not Given,Social Work / Activism,Cound't Classify,BSP,1193.0,M,fbH8oc4X,2023,Postgraduate
143,Haveri,Annappa Hanchinamani,27,0,34000.0,,12th Pass PUC Government grade college,SC,Haveri,Agriculture and social service,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia,SYKP,174.0,F,8mm2X9rq,2023,Higher Secondary Education
144,Malleshwaram,Anoop Iyengar,43,3,43452160.0,25104820.0,"Bachelor of Commerce - B.Com, Sheshadripuram College, Bengaluru University Year 1999-2000",GEN,B.B.M.P(North),Entrepreneur,Entrepreneur,Business / Entrepreneurship,Business / Entrepreneurship,INC,39304.0,M,ZX8wZRHZ,2023,Graduate
145,Challakere,Anjamma,42,0,421019.0,,3rd standard passed in Government Primary School Kamasamura Challakre Talluk in 1991-92,ST,Chitradurga,Own work and Bangles Business,Labor,"Business / Entrepreneurship, Arts / Entertainment",Unknown,IND,715.0,M,jKUfD6wG,2023,Primary Education
146,Malavalli,Annadani C.,61,0,11165000.0,1100000.0,"MSW From Mysore University in 1990 M.Phil From Vinayaka Machine Open University, Salem, Tamil Nadu. In 2009",SC,Mandya,Retired Child Development Scheme Officer Karnataka Govt.,Died,Not Given,Unknown,IND,142.0,M,o9BY3NVZ,2023,Postgraduate
147,C.V. Raman Nagar,Anji. V.,47,0,131720.0,,"II PUC from St. Josephs College, Bangalore in 1993",SC,B.B.M.P(North),Self Employed Social Environmental Activist,Not Given,"Business / Entrepreneurship, Social Work / Activism, Environmental Conservation",Cound't Classify,BSP,337.0,M,j8gmaBng,2023,Higher Secondary Education
148,Chikkaballapur,Anjinappa.P,30,0,117000.0,,Mechanical Engineer from PSP College bangalore-2015,GEN,Chikkaballapur,Social Service,NO,Social Work / Activism,Not Given,KRS,304.0,M,E7CayFsE,2023,Graduate
149,Govindraj Nagar,Anjana Gowda,46,0,17465000.0,699322.0,"2nd PUC, Date 24-11-1997, J.P. College, Halaguru, Malavalli Taluk, Mandya district.",GEN,B.B.M.P(South),House Wife,"Government First Grade Contractor, Civil Contractor",Cound't Classify,Construction / Real Estate,AAP,452.0,M,QqSx5xr5,2023,Higher Secondary Education
150,Gurmitkal,Anpur Lalita Moulali,41,0,10194048.0,159193.0,"M.A. Political Science, Karnataka State Open University in 2012-13",GEN,Yadgir,Agriculture and Business,No,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,BJP,14571.0,M,VeTanfvf,2023,Postgraduate
151,Saundatti Yellamma,Antakkanavar Parappa Shankareppa,49,0,25495879.0,980000.0,"LLB(SP) University law-college,dharwad in1997",GEN,Belgaum,Agriculture and legal profession,House work,"Agriculture / Farming, Law / Judiciary",Cound't Classify,KRS,487.0,M,iU4NhZMr,2023,Graduate
152,Shanti Nagar,Anthony A Santhosh,53,0,32885500.0,,SSLC,GEN,B.B.M.P(Central),Lab Assistant (St.Johns Medical College),Teacher (Govt. School),Medicine / Healthcare,Education / Academia,ICF,233.0,M,YYAbHGGt,2023,Higher Secondary Education
153,Pulakeshinagar,Anuradha V,44,0,2330750.0,,"1st PUC,Shree Veerabhadra Samyuktha Padvipura college at dodagubi-2000",SC,B.B.M.P(North),Self employee tailoring,Self employee,Unknown,Cound't Classify,JD(S),94.0,M,G4gVZRbp,2023,Higher Secondary Education
154,Hosakote,Anusha P R,29,0,1250000.0,,9th pass,GEN,Bangalore Rural,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,IND,25.0,M,8EjwjTgF,2023,Secondary Education
155,Shivajinagar,Anwar Basha,67,0,534000.0,,High school From Colonel Hill English High School,GEN,B.B.M.P(Central),Business,house wife,Business / Entrepreneurship,Not Given,IND,52.0,M,8eGo3edX,2023,Secondary Education
156,Bommanahalli,Anthony Raj .J,49,0,25816006.0,2000000.0,"BA ,LLB, B.E.S Law College Jayanagara 4th T Block , in 2009",GEN,B.B.M.P(South),Advocate,Retail store,Law / Judiciary,Business / Entrepreneurship,IND,158.0,M,YkNSRMgN,2023,Graduate
157,Jamkhandi,Anthosh Shankar Savvase,29,0,642666.0,,"M.Com (2nd Year) from IGNOU, B.Com from Basaveshwar Commerce College, Bagalkot (RCUB), CA (Intermediate) from ICAI",GEN,Bagalkot,Profession (Tax Consultant and Karate Instruction),House wife,"Banking / Finance, Sports / Athletics",Not Given,UPP,179.0,M,FWAkT5a9,2023,Technical/Professional Course
158,Dharwad,Anna Manju Mangalagatti,40,0,600000.0,,SSLC,GEN,Dharwad,Agricultural Ballad land and Social Purpose,Not Given,"Agriculture / Farming, Social Work / Activism",Cound't Classify,IND,129.0,M,mdRJcg3E,2023,Secondary Education
159,Madikeri,Appachu Ranjan M P,66,0,89419328.0,2287850.0,"SSLC, Devanageri in 1973",GEN,Kodagu,Coffee growers,Coffee growers,Agriculture / Farming,Agriculture / Farming,BJP,80477.0,M,4UKA8jb2,2023,Higher Secondary Education
160,Hubli-Dharwad West,Aravind M.,51,0,13394147.0,1945215.0,"Degree course ,alagappa university,karaikudi tamil nadu-2017",GEN,Dharwad,Consultancy services,Housewife,Consulting / Advisory,Education / Academia,AAP,784.0,M,9tsFywLG,2023,Graduate
161,Tirthahalli,Araga Jnanendra,70,0,62858539.0,600000.0,"B.Com, National commerce college , Shimoga in 1971 to 1974",GEN,Shimoga,Agriculture,House wife,Agriculture / Farming,Not Given,BJP,84563.0,M,5SNiA5TT,2023,Graduate
162,Aland,Apparao Patil,68,1,1125354.0,1000000.0,SSLC- Government High School Madana Hipparaga Tq. Aland Dist.Kalburgi 1970,GEN,Gulbarga,Social Service,House Wife,Social Work / Activism,Cound't Classify,IND,477.0,M,Uaia9c53,2023,Higher Secondary Education
163,Chikkodi-Sadalga,Arjun Bandu Mane,54,0,1730600.0,55000.0,SSLC from RD College Chikkodi in april1990,GEN,Belgaum,Business,Housewife,Business / Entrepreneurship,Education / Academia,BSP,1284.0,M,9rLUrtUE,2023,Higher Secondary Education
164,Nagamangala,Aravind Sreenivas Prajakeeya,32,0,731000.0,400000.0,"Diploma in civil from HMS Rural Polyechnic,Tumkur(2010)",GEN,Mandya,Site Engineer,Housewife,Engineering / Technology,Education / Academia,UPP,654.0,M,B6vjxyuX,2023,Diploma Holder
165,Yellapur,Arabail Hebbar Shivaram,65,1,212788863.0,23156381.0,"SSLC (Secondary School Leaving Certificate) from Janata Vidyalaya Kadatoka, Tq. Honnavar, Uttara Kannada in 1972-73",GEN,Uttara Kannada,"Agriculturist, Actively into Politics and Social Worker",House Wife Agriculture,"Agriculture / Farming, Politics / Public Service, Social Work / Activism",Agriculture / Farming,BJP,74699.0,M,XLjXyfpb,2023,Secondary Education
166,Chikkodi-Sadalga,Appasaheb Shripati Kurane,41,0,3531800.0,,M K College Yexamba PUC 2007,GEN,Belgaum,"The editors, Owner, Publishers of Lokayuktha Dali Kannada Rashtriya Vara Patrike Founding President Managing Director Onde mataram Trust of India, Karantaka President , Akhila Bharathiya Brashtachara Nigraha Sanghatane Delhi Branch Karnataka",Housewife,Media / Journalism,Education / Academia,IMP,167.0,M,SijuVjmu,2023,Higher Secondary Education
167,Kolar,Aravind. G.R.,27,0,104000.0,,Bachelor of Engineering R.L.Jalappa Institute of Technology 2017,GEN,Kolar,Analyst development,Not Given,Information Technology,Cound't Classify,IND,39.0,M,PGgN9KSD,2023,Graduate
168,Karkal,Arun Deepak Mendonca,38,0,5657000.0,1738000.0,Senior Secondary- NIOS - 2020-2021,GEN,Udupi,Printing Engineer Agriculture,Not Given,Agriculture / Farming,Cound't Classify,UPP,501.0,M,7dya6n8P,2023,Higher Secondary Education
