,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
109,Mahadevapura,Anand Kumar N,IND,36,0,521400.0,1152000.0,Graduates,"BA in Economics from Bangalore University, 2019",SC,Bangalore Urban,IT Professional,Not Given,Information Technology,Cound't Classify
110,Dharwad,Amrut Ayyappa Desai,BJP,46,0,122833531.0,3642559.0,Graduates,"B.COM (not completed ), Karnataka University ,Dharwada",GEN,Dharwad,"Agriculture, Social Service","Agriculture,Business, House Work , Social Service","Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Business / Entrepreneurship, Not Given, Social Work / Activism"
111,Badami,Anand Laxman Waddar,Karnataka Rashtra Samithi,28,0,500000.0,320000.0,Graduates,First Grade BA-Government First Grade College Rampura Tq District Bagalkot in 2017,GEN,Bagalkot,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
112,Jamkhandi,Anand Siddu Nyamagouda,INC,40,1,109111686.0,13758493.0,Postgraduates,"Master of Business Administration MBA (Finance) from Bangalore University, Bangalore in 2005",GEN,Bagalkot,"Agriculture and Chairman, Jamakhandi Sugars Ltd",Business School Coordinator,"Agriculture / Farming, Politics / Public Service",Business / Entrepreneurship
113,Maddur,Ananda,AAP,50,4,3313421.0,1390000.0,Secondary Education,"Secondary School Leaving Certificate Pass From Govt High School, Arakere Village - 1990-91",GEN,Mandya,Driver,House Wife,Transportation / Logistics,Cound't Classify
114,Nanjangud,Ananda Jeevan Ram,IND,37,0,1370000.0,640000.0,Secondary Education,"SSLC From Banavalu, Nanjanagudu Tq Mysore Di. 1999-2000",SC,Mysore,Business,Not Given,Business / Entrepreneurship,Cound't Classify
115,Kadur,Ananda Naik. S.L,Karnataka Rashtra Samithi,36,0,156600.0,40000.0,Secondary Education,"SSLC-Jnanjyothi high school,kadur",GEN,Chikmagalur,Driving,House wife,Transportation / Logistics,Not Given
116,Bhadravati,Ananda Maruthi Medicals,AAP,58,0,45578068.0,4027145.0,Secondary Education,SSLC,GEN,Shimoga,"Real Estate, Medical Shop, Agriculture",Medical Shop,"Construction / Real Estate, Medicine / Healthcare, Agriculture / Farming",Medicine / Healthcare
117,Saundatti Yellamma,Anand Irayya Kantimath,IND,43,0,7105592.0,400000.0,Higher Secondary Education,"PUC , JSS college gokak in 1998",GEN,Belgaum,Agriculture and Trading,House wife,Agriculture / Farming,Not Given
118,Chamrajpet,Anand.K.S,IND,35,0,30023.0,,Higher Secondary Education,PUC completed in 2005,GEN,B.B.M.P(Central),Mediator,No,Cound't Classify,Cound't Classify
119,Kudachi,Anand. V. Malagi,JD(S),26,0,3046902.0,493502.0,Secondary Education,"SSLC From Vanita Vidyalaya English Medium High School, Belagavi, Year-2013",SC,Belgaum,Business,House Wife,Business / Entrepreneurship,Cound't Classify
120,Channapatna,Andanaiah,IND,46,0,4350000.0,490000.0,Higher Secondary Education,2nd PUC from Neharu Pre graduate college 1998,GEN,Ramanagaram,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
121,Yellapur,Andalagi Veerabhadragouda Shivanagoud Patil,INC,63,0,35793988.0,2211648.0,Secondary Education,"SSLC -1975-76,Government union college ,Mundagod",GEN,Uttara Kannada,Agriculture,House work,Agriculture / Farming,Cound't Classify
122,Nagamangala,Anikethan Gowda,IND,36,0,58167335.0,4032493.0,Postgraduates,"Bachelor of Engineering Computer Science From RNSIT College, VTU in the year 2009",GEN,Mandya,Engineering Consultant,"Radiologist, Business, House rent income","Engineering / Technology, Consulting / Advisory","Medicine / Healthcare, Business / Entrepreneurship, Not Given"
123,Tiptur,Ananthashayana A T,IND,66,0,2028000.0,,Postgraduates,"MA in Jnana bharathi bangalore ,bangalore university 1983-84",GEN,Tumkur,Agriculture,no,Agriculture / Farming,Cound't Classify
124,Shrirangapattana,Ananda.P,BSP,36,0,213873.0,,Graduates,"B.A. From Govt. College Mandya, Year-2009",GEN,Mandya,Bussiness,House wife,Business / Entrepreneurship,Not Given
125,Mudigere,Angadi Chandru,SDPI,46,1,774200.0,325859.0,Graduates,"B.A.Govt First Class College,mudigere-2003",SC,Chikmagalur,Driver,Housewife,Transportation / Logistics,Education / Academia
126,Heggadadevankote,Anil Chikkamadhu,INC,34,2,149443273.0,,Secondary Education,"SSLC- Talent High School Hunsuru, 2005, Mysore District",ST,Mysore,Agriculture and Business,Bank Employee,"Agriculture / Farming, Business / Entrepreneurship",Banking / Finance
127,Ron,Anekal Doddaiah,AAP,42,0,70050000.0,2500000.0,Graduates,"B.A. From Magadh University, Bodhgaya (Patna) India (Correspondance)",GEN,Gadag,Agriculture and Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
128,Rajarajeshwarinagar,Anantha Subhash Chandra,AAP,57,0,45219050.0,6700000.0,Higher Secondary Education,12th Philomenas College Mysore Year 1983,GEN,B.B.M.P(Central),Businessman,House Wife,Business / Entrepreneurship,Cound't Classify
129,Anekal,Anburaj,Karnataka Rashtra Samithi,57,0,11200000.0,,Primary Education,"8th pass from Government School, Tamilnadu",SC,Bangalore Urban,Business,Housewife,Business / Entrepreneurship,Education / Academia
130,Shrirangapattana,Anil Kumar,Aihra National Party,40,0,147000.0,200000.0,Secondary Education,10th Government Pre University College Srirangapattana in 2009,GEN,Mandya,Driver,House Wife,Transportation / Logistics,Cound't Classify
131,Shimoga,Anil M R,IND,41,0,2058000.0,,Vocational Training,"JODC Taraballu Vidya Institute, Sirigiri-2001",GEN,Shimoga,Business,Housewife,Business / Entrepreneurship,Education / Academia
132,Mayakonda,Anandappa H,JD(S),68,0,228267265.0,10500000.0,Primary Education,"7th pass,Govt kannada madhyamika School,Chitradurga-1967-68",SC,Davangere,"Self Employed,Enterpreneur","Businees,Agricultural,Commercial and Educatinal Institution",Business / Entrepreneurship,"Business / Entrepreneurship, Agriculture / Farming"
133,Bellary City,Anil H Lad,JD(S),50,6,3805729648.0,386009804.0,Primary Education,8th Standard at Sandur Residental School sandur In Year 1987,GEN,Bellary,"Business, Plotics and Social Work",Business and House Wife,"Business / Entrepreneurship, Politics / Public Service, Social Work / Activism",Business / Entrepreneurship
134,Shikaripura,Anil M.R.,IND,41,0,2059000.0,,Higher Secondary Education,JODC Taralabalu Vidya Institute Sirigere in Society Seregeri 2001,GEN,Shimoga,Business,House wife,Business / Entrepreneurship,Not Given
135,Aurad,Anil Rathod,Rashtriya Maratha Party,28,1,880000.0,,Secondary Education,SSLC in 2009 from S.S.C. Board latur,SC,Bidar,"Agriculture, Business",Housewife,"Agriculture / Farming, Business / Entrepreneurship",Education / Academia
136,Challakere,Anil Kumar R.,BJP,45,6,264655833.0,29840680.0,Graduates,"Engineering ,Bangalore University, S.I.T Tumkur in 2001",ST,Chitradurga,"Retired Government Employee , Agriculture","Business, Agriculture",Agriculture / Farming,"Business / Entrepreneurship, Agriculture / Farming"
137,Gadag,Anil. P. Menasinakai,BJP,49,11,94288543.0,3729000.0,Higher Secondary Education,"PUC-KVSR College, Gadag-1994",GEN,Gadag,Real Estate Business,Business,Construction / Real Estate,Business / Entrepreneurship
138,Bidar,Anilkumar,BSP,35,0,1074500.0,335000.0,Diploma Holders,"Diploma in Civil Engineer, KCT Polytechnic College, Gulbarga 2013",GEN,Bidar,Engineer,Teacher,Engineering / Technology,Education / Academia
139,Doddaballapur,Anandamurthy.J.Gowdru,IND,52,0,233500000.0,,Secondary Education,SSLC,GEN,Bangalore Rural,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
140,Sidlaghatta,Anjinappa,IND,45,0,255653542.0,1800000.0,Postgraduates,"M,SC from Bangalore University 2001",GEN,Chikkaballapur,Agriculture and business,Agriculture Business,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship"
141,Hebbal,Anjan Kumar Gowda S,Indian New Congress Party,49,1,,,Unknown,SSLC Fail,GEN,B.B.M.P(North),Social Service,Not Given,Social Work / Activism,Cound't Classify
142,Aurad,Ankush,Karnataka Rashtra Samithi,31,0,325000.0,50000.0,Secondary Education,"8th Pass From Morarji Desai Madari Vasati School Santhapura, Tq Aurad",SC,Bidar,Social Service,House wife,Social Work / Activism,Not Given
143,Lingsugur,Anilkumar D.Janappa Hirenaganoor,BSP,32,0,1801000.0,500000.0,Postgraduates,"M.S.W. from Shri Sanjeev MSW College, Gulbarga University in 2020, M.B.A. from C.M.R.I.T. College Bangalore (VTU University) in 2013",SC,Raichur,Social Service,Not Given,Social Work / Activism,Cound't Classify
144,Haveri,Annappa Hanchinamani,Swayam Krushi Party,27,0,34000.0,,Higher Secondary Education,12th Pass PUC Government grade college,SC,Haveri,Agriculture and social service,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia
145,Malleshwaram,Anoop Iyengar,INC,43,3,43452160.0,25104820.0,Graduates,"Bachelor of Commerce - B.Com, Sheshadripuram College, Bengaluru University Year 1999-2000",GEN,B.B.M.P(North),Entrepreneur,Entrepreneur,Business / Entrepreneurship,Business / Entrepreneurship
146,Challakere,Anjamma,IND,42,0,421019.0,,Primary Education,3rd standard passed in Government Primary School Kamasamura Challakre Talluk in 1991-92,ST,Chitradurga,Own work and Bangles Business,Labor,"Business / Entrepreneurship, Arts / Entertainment",Unknown
147,Malavalli,Annadani C.,IND,61,0,11165000.0,1100000.0,Doctorates,"MSW From Mysore University in 1990 M.Phil From Vinayaka Machine Open University, Salem, Tamil Nadu. In 2009",SC,Mandya,Retired Child Development Scheme Officer Karnataka Govt.,Died,Not Given,Unknown
148,C.V. Raman Nagar,Anji. V.,BSP,47,0,131720.0,,Higher Secondary Education,"II PUC from St. Josephs College, Bangalore in 1993",SC,B.B.M.P(North),Self Employed Social Environmental Activist,Not Given,"Business / Entrepreneurship, Social Work / Activism, Environmental Conservation",Cound't Classify
149,Chikkaballapur,Anjinappa.P,Karnataka Rashtra Samithi,30,0,117000.0,,Diploma Holders,Mechanical Engineer from PSP College bangalore-2015,GEN,Chikkaballapur,Social Service,NO,Social Work / Activism,Not Given
150,Govindraj Nagar,Anjana Gowda,AAP,46,0,17465000.0,699322.0,Higher Secondary Education,"2nd PUC, Date 24-11-1997, J.P. College, Halaguru, Malavalli Taluk, Mandya district.",GEN,B.B.M.P(South),House Wife,"Government First Grade Contractor, Civil Contractor",Cound't Classify,Construction / Real Estate
151,Gurmitkal,Anpur Lalita Moulali,BJP,41,0,10194048.0,159193.0,Postgraduates,"M.A. Political Science, Karnataka State Open University in 2012-13",GEN,Yadgir,Agriculture and Business,No,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
152,Saundatti Yellamma,Antakkanavar Parappa Shankareppa,Karnataka Rashtra Samithi,49,0,25495879.0,980000.0,Graduates,"LLB(SP) University law-college,dharwad in1997",GEN,Belgaum,Agriculture and legal profession,House work,"Agriculture / Farming, Law / Judiciary",Cound't Classify
153,Shanti Nagar,Anthony A Santhosh,Indian Christian Front,53,0,32885500.0,,Secondary Education,SSLC,GEN,B.B.M.P(Central),Lab Assistant (St.Johns Medical College),Teacher (Govt. School),Medicine / Healthcare,Education / Academia
154,Pulakeshinagar,Anuradha V,JD(S),44,0,2330750.0,,Higher Secondary Education,"1st PUC,Shree Veerabhadra Samyuktha Padvipura college at dodagubi-2000",SC,B.B.M.P(North),Self employee tailoring,Self employee,Unknown,Cound't Classify
155,Hosakote,Anusha P R,IND,29,0,1250000.0,,Secondary Education,9th pass,GEN,Bangalore Rural,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
156,Shivajinagar,Anwar Basha,IND,67,0,534000.0,,Secondary Education,High school From Colonel Hill English High School,GEN,B.B.M.P(Central),Business,house wife,Business / Entrepreneurship,Not Given
157,Bommanahalli,Anthony Raj .J,IND,49,0,25816006.0,2000000.0,Graduates,"BA ,LLB, B.E.S Law College Jayanagara 4th T Block , in 2009",GEN,B.B.M.P(South),Advocate,Retail store,Law / Judiciary,Business / Entrepreneurship
158,Jamkhandi,Anthosh Shankar Savvase,Uttama Prajaakeeya Party,29,0,642666.0,,Postgraduates,"M.Com (2nd Year) from IGNOU, B.Com from Basaveshwar Commerce College, Bagalkot (RCUB), CA (Intermediate) from ICAI",GEN,Bagalkot,Profession (Tax Consultant and Karate Instruction),House wife,"Banking / Finance, Sports / Athletics",Not Given
159,Dharwad,Anna Manju Mangalagatti,IND,40,0,600000.0,,Secondary Education,SSLC,GEN,Dharwad,Agricultural Ballad land and Social Purpose,Not Given,"Agriculture / Farming, Social Work / Activism",Cound't Classify
160,Madikeri,Appachu Ranjan M P,BJP,66,0,89419328.0,2287850.0,Secondary Education,"SSLC, Devanageri in 1973",GEN,Kodagu,Coffee growers,Coffee growers,Agriculture / Farming,Agriculture / Farming
161,Hubli-Dharwad West,Aravind M.,AAP,51,0,13394147.0,1945215.0,Graduates,"Degree course ,alagappa university,karaikudi tamil nadu-2017",GEN,Dharwad,Consultancy services,Housewife,Consulting / Advisory,Education / Academia
162,Tirthahalli,Araga Jnanendra,BJP,70,0,62858539.0,600000.0,Graduates,"B.Com, National commerce college , Shimoga in 1971 to 1974",GEN,Shimoga,Agriculture,House wife,Agriculture / Farming,Not Given
163,Aland,Apparao Patil,IND,68,1,1125354.0,1000000.0,Secondary Education,SSLC- Government High School Madana Hipparaga Tq. Aland Dist.Kalburgi 1970,GEN,Gulbarga,Social Service,House Wife,Social Work / Activism,Cound't Classify
164,Chikkodi-Sadalga,Arjun Bandu Mane,BSP,54,0,1730600.0,55000.0,Secondary Education,SSLC from RD College Chikkodi in april1990,GEN,Belgaum,Business,Housewife,Business / Entrepreneurship,Education / Academia
165,Nagamangala,Aravind Sreenivas Prajakeeya,Uttama Prajaakeeya Party,32,0,731000.0,400000.0,Diploma Holders,"Diploma in civil from HMS Rural Polyechnic,Tumkur(2010)",GEN,Mandya,Site Engineer,Housewife,Engineering / Technology,Education / Academia
166,Yellapur,Arabail Hebbar Shivaram,BJP,65,1,212788863.0,23156381.0,Secondary Education,"SSLC (Secondary School Leaving Certificate) from Janata Vidyalaya Kadatoka, Tq. Honnavar, Uttara Kannada in 1972-73",GEN,Uttara Kannada,"Agriculturist, Actively into Politics and Social Worker",House Wife Agriculture,"Agriculture / Farming, Politics / Public Service, Social Work / Activism",Agriculture / Farming
167,Chikkodi-Sadalga,Appasaheb Shripati Kurane,Indian Movement Party,41,0,3531800.0,,Higher Secondary Education,M K College Yexamba PUC 2007,GEN,Belgaum,"The editors, Owner, Publishers of Lokayuktha Dali Kannada Rashtriya Vara Patrike Founding President Managing Director Onde mataram Trust of India, Karantaka President , Akhila Bharathiya Brashtachara Nigraha Sanghatane Delhi Branch Karnataka",Housewife,Media / Journalism,Education / Academia
168,Kolar,Aravind. G.R.,IND,27,0,104000.0,,Graduates,Bachelor of Engineering R.L.Jalappa Institute of Technology 2017,GEN,Kolar,Analyst development,Not Given,Information Technology,Cound't Classify
169,Karkal,Arun Deepak Mendonca,Uttama Prajaakeeya Party,38,0,5657000.0,1738000.0,Higher Secondary Education,Senior Secondary- NIOS - 2020-2021,GEN,Udupi,Printing Engineer Agriculture,Not Given,Agriculture / Farming,Cound't Classify
170,Terdal,Arjun Halagigoudar,AAP,44,0,93495006.0,10775000.0,Postgraduates,"MA From Karnataka University, Dharwad, Year-2005",GEN,Bagalkot,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
171,Basavanagudi,Aramane Shankar,JD(S),44,0,70828263.0,27055751.0,Higher Secondary Education,Pre University College (PUC) from Acharya Patashala Evening Collge in 1997-98,GEN,B.B.M.P(South),Self Employed,House Wife,Business / Entrepreneurship,Cound't Classify
172,K.R.Pura,Arogyaswamy,Karnataka Rashtra Samithi,49,5,20669500.0,70000.0,Graduates,"B.Com, Mangalore University, 2020",GEN,B.B.M.P(North),Social Service,Teacher,Social Work / Activism,Education / Academia
173,Kundapura,Arun Deepak Mendonca,Uttama Prajaakeeya Party,38,0,5657000.0,1738000.0,Higher Secondary Education,Senior Secondary NIOS 2020-21,GEN,Udupi,Printing Engineer Agriculture,Not Given,Agriculture / Farming,Cound't Classify
174,Tiptur,Arun Linga,Kannada Deshada Paksha,30,2,1835095.0,,Secondary Education,SSLC 2008,GEN,Tumkur,Social service,no,Social Work / Activism,Cound't Classify
175,Puttur,Arun Kumar Puthila,IND,53,5,10773318.0,3784679.0,Higher Secondary Education,"PUC from Govt.Junior college Kombettu, Puttur In 1988",GEN,Dakshina Kannada,Agriculture and Bhagvan Vehicle Insurance Center,Housewife,Agriculture / Farming,Education / Academia
176,Gandhi Nagar,Arun Kumar D,Indian Movement Party,37,0,360000.0,100000.0,Secondary Education,"10th from Gandhi Vidhya Shala, Srirampuram, Bangalore in 2002",GEN,B.B.M.P(Central),Security Supervisor,House Wife,Law Enforcement / Security,Cound't Classify
177,Vijay Nagar,Arun Kumar C,AIFB,34,0,11577500.0,,Secondary Education,"Secondary School Leaving Certificate, Pass at Siddartha Residential High School, Blore - 1993-2003",GEN,B.B.M.P(South),Social Service,Not Given,Social Work / Activism,Cound't Classify
178,Muddebihal,Appaji Aliyas Channabasavaraj S O Shankarao Nadagouda,INC,65,0,221776720.0,16656701.0,Graduates,"Bachular of Arts, L.V D,Collage,Rayacure",GEN,Bijapur,Agriculture,Housewife and Agriculture,Agriculture / Farming,"Hospitality / Tourism, Agriculture / Farming"
179,Rajarajeshwarinagar,Areef Pasha,IND,55,0,431091.0,,Secondary Education,8th from Ramaiah High School Mathikere In 1980,GEN,B.B.M.P(Central),Business,Housewife,Business / Entrepreneurship,Education / Academia
180,Chickpet,Arun Prasad A,BSP,49,0,102500.0,,Higher Secondary Education,"II PUC from St. Josephs College, Bangalore In 1993",GEN,B.B.M.P(Central),Social Environmental Activist Home Tutor,Not Given,"Social Work / Activism, Education / Academia",Cound't Classify
181,Chamrajpet,Asgar A Moheen.S.M.,IND,54,1,4700000.0,,Higher Secondary Education,PUC - B.E.S. College Bangalore in 1984,GEN,B.B.M.P(Central),Business,House Wife,Business / Entrepreneurship,Cound't Classify
